Date,Revenue,Net_Income,Total_Equity,Operating_CF,CapEx,Ticker
2015-12-01,958,-102,-412.0,59.0,-32.0,AMD
2016-03-01,832,-109,-503.0,-42.0,-26.0,AMD
2016-06-01,1027,69,-413.0,-85.0,-21.0,AMD
2016-09-01,1307,-406,385.0,29.0,-9.0,AMD
2016-12-01,1153,-52,416.0,179.0,-21.0,AMD
2017-03-01,1178,-33,409.0,-299.0,-23.0,AMD
2017-06-01,1151,-42,417.0,-82.0,-12.0,AMD
2017-09-01,1584,61,520.0,69.0,-34.0,AMD
2017-12-01,1340,-19,596.0,324.0,-44.0,AMD
2018-03-01,1647,81,715.0,-107.0,-46.0,AMD
2018-06-01,1756,116,879.0,-55.0,-43.0,AMD
2018-09-01,1653,102,1125.0,76.0,-33.0,AMD
2018-12-01,1419,38,1266.0,120.0,-41.0,AMD
2019-03-01,1272,16,1788.0,-213.0,-62.0,AMD
2019-06-01,1531,35,1901.0,30.0,-58.0,AMD
2019-09-01,1801,120,2176.0,234.0,-55.0,AMD
2019-12-01,2127,170,2827.0,442.0,-42.0,AMD
2020-03-01,1786,162,3037.0,-65.0,-55.0,AMD
2020-06-01,1932,157,3305.0,243.0,-91.0,AMD
2020-09-01,2801,390,3867.0,339.0,-74.0,AMD
2020-12-01,3244,1781,5837.0,554.0,-74.0,AMD
2021-03-01,3445,555,6477.0,898.0,-66.0,AMD
2021-06-01,3850,710,7065.0,952.0,-64.0,AMD
2021-09-01,4313,923,7136.0,849.0,-85.0,AMD
2021-12-01,4826,974,7497.0,822.0,-86.0,AMD
2022-03-01,5887,786,55333.0,995.0,-71.0,AMD
2022-06-01,6550,447,55169.0,1038.0,-132.0,AMD
2022-09-01,5565,66,54542.0,965.0,-123.0,AMD
2022-12-01,5599,21,54750.0,567.0,-124.0,AMD
2023-03-01,5353,-139,54694.0,486.0,-158.0,AMD
2023-06-01,5359,27,55136.0,379.0,-125.0,AMD
2023-09-01,5800,299,54970.0,421.0,-124.0,AMD
2023-12-01,6168,667,55892.0,381.0,-139.0,AMD
2024-03-01,5473,123,56198.0,521.0,-142.0,AMD
2024-06-01,5835,265,56538.0,593.0,-154.0,AMD
2024-09-01,6819,771,56985.0,628.0,-132.0,AMD
2024-12-01,7658,482,57568.0,1299.0,-208.0,AMD
2025-03-01,7438,709,57881.0,939.0,-212.0,AMD
2025-06-01,7685,872,59665.0,2011.0,-282.0,AMD
2025-09-01,9246,1243,60790.0,2159.0,-258.0,AMD
2025-12-01,10270,1511,62999.0,2600.0,-222.0,AMD
1996-04-01,1087,246,2237.0,295.0,-69.5,CSCO
1996-07-01,1292,277,2861.0,394.0,-112.0,CSCO
1996-10-01,1435,181,3126.0,529.0,-88.1,CSCO
1997-01-01,1592,338,3622.0,28.6,-81.3,CSCO
1997-04-01,1648,378,4029.0,401.0,-101.0,CSCO
1997-07-01,1777,153,4332.0,490.0,-61.8,CSCO
1997-10-01,1869,337,4846.0,707.0,-63.0,CSCO
1998-01-01,2016,457,5473.0,460.0,-77.0,CSCO
1998-04-01,2184,65,6351.0,817.0,-142.0,CSCO
1998-07-01,2420,472,7191.0,881.0,-147.0,CSCO
1998-10-01,2597,512,7996.0,846.0,-125.0,CSCO
1999-01-01,2845,282,9200.0,844.0,-157.0,CSCO
1999-04-01,3171,636,10296.0,1209.0,-103.0,CSCO
1999-07-01,3559,596,11855.0,1426.0,-217.0,CSCO
1999-10-01,3918,415,13926.0,1132.0,-201.0,CSCO
2000-01-01,4357,816,16568.0,1565.0,-213.0,CSCO
2000-04-01,4933,641,20071.0,1785.0,-257.0,CSCO
2000-07-01,5720,796,26542.0,1659.0,-415.0,CSCO
2000-10-01,6519,798,27686.0,1363.0,-524.0,CSCO
2001-01-01,6748,874,29546.0,1463.0,-684.0,CSCO
2001-04-01,4728,-2693,26115.0,1881.0,-606.0,CSCO
2001-07-01,4298,7,27142.0,1685.0,-457.0,CSCO
2001-10-01,4448,-268,27470.0,1384.0,-292.0,CSCO
2002-01-01,4816,660,28161.0,2007.0,-190.0,CSCO
2002-04-01,4822,729,28435.0,1587.0,-1761.0,CSCO
2002-07-01,4829,772,28671.0,1609.0,-398.0,CSCO
2002-10-01,4845,618,28556.0,1067.0,-122.0,CSCO
2003-01-01,4713,991,28465.0,1359.0,-219.0,CSCO
2003-04-01,4618,987,27656.0,1265.0,-163.0,CSCO
2003-07-01,4702,982,28039.0,1628.0,-213.0,CSCO
2003-10-01,5101,1086,27429.0,973.0,-173.0,CSCO
2004-01-01,5398,724,27647.0,1616.0,-220.0,CSCO
2004-04-01,5620,1211,25986.0,2379.0,-94.0,CSCO
2004-07-01,5926,1380,25916.0,1994.0,-126.0,CSCO
2004-10-01,5971,1396,24717.0,1459.0,-159.0,CSCO
2005-01-01,6062,1400,23763.0,1789.0,-131.0,CSCO
2005-04-01,6187,1405,23767.0,1884.0,-180.0,CSCO
2005-07-01,6581,1540,23184.0,2436.0,-222.0,CSCO
2005-10-01,6550,1261,21441.0,1402.0,-215.0,CSCO
2006-01-01,6628,1375,22968.0,1865.0,-179.0,CSCO
2006-04-01,7322,1400,24623.0,2315.0,-201.0,CSCO
2006-07-01,7984,1544,23918.0,2317.0,-177.0,CSCO
2006-10-01,8184,1608,25543.0,2271.0,-214.0,CSCO
2007-01-01,8439,1921,26590.0,2658.0,-334.0,CSCO
2007-04-01,8866,1874,28527.0,2437.0,-364.0,CSCO
2007-07-01,9433,1930,31490.0,2738.0,-339.0,CSCO
2007-10-01,9554,2205,34003.0,3089.0,-296.0,CSCO
2008-01-01,9831,2060,32893.0,2443.0,-295.0,CSCO
2008-04-01,9791,1773,33201.0,3028.0,-317.0,CSCO
2008-07-01,10364,2014,34402.0,3529.0,-360.0,CSCO
2008-10-01,10331,2201,35059.0,2718.0,-361.0,CSCO
2009-01-01,9089,1504,36801.0,3198.0,-224.0,CSCO
2009-04-01,8162,1348,37283.0,1996.0,-209.0,CSCO
2009-07-01,8535,1081,38677.0,1985.0,-211.0,CSCO
2009-10-01,9021,1787,40026.0,1488.0,-160.0,CSCO
2010-01-01,9815,1853,41532.0,2486.0,-248.0,CSCO
2010-04-01,10368,2192,43852.0,2967.0,-291.0,CSCO
2010-07-01,10836,1935,44285.0,3232.0,-309.0,CSCO
2010-10-01,10750,1930,44695.0,1667.0,-326.0,CSCO
2011-01-01,10407,1521,45686.0,2609.0,-326.0,CSCO
2011-04-01,10866,1807,47206.0,2979.0,-278.0,CSCO
2011-07-01,11195,1232,47259.0,2824.0,-244.0,CSCO
2011-10-01,11256,1777,47214.0,2333.0,-265.0,CSCO
2012-01-01,11527,2182,49265.0,3101.0,-284.0,CSCO
2012-04-01,11588,2165,51378.0,2969.0,-281.0,CSCO
2012-07-01,11690,1917,51301.0,3088.0,-296.0,CSCO
2012-10-01,11876,2092,52701.0,2465.0,-241.0,CSCO
2013-01-01,12098,3143,55525.0,3349.0,-277.0,CSCO
2013-04-01,12216,2478,56798.0,3094.0,-268.0,CSCO
2013-07-01,12417,2270,59128.0,3986.0,-233.0,CSCO
2013-10-01,12085,1996,58909.0,2649.0,-159.0,CSCO
2014-01-01,11155,1429,56084.0,2873.0,-254.0,CSCO
2014-04-01,11545,2181,55796.0,3198.0,-369.0,CSCO
2014-07-01,12357,2247,56661.0,3612.0,-261.0,CSCO
2014-10-01,12245,1828,56715.0,2491.0,-282.0,CSCO
2015-01-01,11936,2397,57733.0,2883.0,-263.0,CSCO
2015-04-01,12137,2437,58833.0,3040.0,-354.0,CSCO
2015-07-01,12843,2319,59707.0,4138.0,-306.0,CSCO
2015-10-01,12682,2430,59985.0,2766.0,-256.0,CSCO
2016-01-01,11927,3147,60878.0,3922.0,-309.0,CSCO
2016-04-01,12000,2349,62358.0,3064.0,-304.0,CSCO
2016-07-01,12638,2813,63585.0,3818.0,-236.0,CSCO
2016-10-01,12352,2322,63413.0,2730.0,-273.0,CSCO
2017-01-01,11580,2348,63818.0,3772.0,-248.0,CSCO
2017-04-01,11940,2515,65382.0,3373.0,-229.0,CSCO
2017-07-01,12133,2424,66137.0,4001.0,-207.0,CSCO
2017-10-01,12136,2394,65550.0,3080.0,-167.0,CSCO
2018-01-01,11887,-8778,51982.0,4070.0,-161.0,CSCO
2018-04-01,12463,2691,46661.0,2416.0,-238.0,CSCO
2018-07-01,12844,3803,43204.0,4100.0,-209.0,CSCO
2018-10-01,13072,3549,43848.0,3763.0,-210.0,CSCO
2019-01-01,12446,2822,40789.0,3797.0,-253.0,CSCO
2019-04-01,12958,3044,36804.0,4329.0,-223.0,CSCO
2019-07-01,13428,2206,33571.0,3942.0,-201.0,CSCO
2019-10-01,13159,2926,34423.0,3587.0,-198.0,CSCO
2020-01-01,12005,2878,35533.0,3800.0,-62.0,CSCO
2020-04-01,11983,2774,35708.0,4237.0,-127.0,CSCO
2020-07-01,12154,2636,37920.0,3802.0,-204.0,CSCO
2020-10-01,11929,2174,38157.0,4096.0,-167.0,CSCO
2021-01-01,11960,2545,39121.0,2974.0,-182.0,CSCO
2021-04-01,12803,2863,40205.0,3880.0,-167.0,CSCO
2021-07-01,13126,3009,41275.0,4504.0,-148.0,CSCO
2021-10-01,12900,2980,42701.0,3427.0,-121.0,CSCO
2022-01-01,12720,2973,39496.0,2461.0,-106.0,CSCO
2022-04-01,12835,3044,40400.0,3661.0,-105.0,CSCO
2022-07-01,13102,2815,39773.0,3677.0,-54.0,CSCO
2022-10-01,13632,2670,40272.0,3962.0,-176.0,CSCO
2023-01-01,13592,2773,41474.0,4739.0,-170.0,CSCO
2023-04-01,14571,3212,42295.0,5219.0,-270.0,CSCO
2023-07-01,15203,3958,44353.0,5966.0,-233.0,CSCO
2023-10-01,14668,3638,45210.0,2371.0,-134.0,CSCO
2024-01-01,12791,2634,46251.0,808.0,-170.0,CSCO
2024-04-01,12702,1886,45768.0,3971.0,-168.0,CSCO
2024-07-01,13642,2162,45457.0,3730.0,-198.0,CSCO
2024-10-01,13841,2711,45277.0,3661.0,-217.0,CSCO
2025-01-01,13991,2428,45530.0,2241.0,-210.0,CSCO
2025-04-01,14149,2491,45935.0,4057.0,-261.0,CSCO
2025-07-01,14673,2550,46843.0,4234.0,-217.0,CSCO
2025-10-01,14883,2860,46873.0,3212.0,-323.0,CSCO
2026-01-01,15349,3175,47723.0,1822.0,-283.0,CSCO
1996-06-01,4621,1041,13884.0,2237.0,-772.0,INTC
1996-09-01,5142,1312,14964.0,1664.0,-630.0,INTC
1996-12-01,6440,1910,16872.0,3257.0,-790.0,INTC
1997-03-01,6448,1983,17108.0,2222.0,-789.0,INTC
1997-06-01,5960,1645,17406.0,1911.0,-969.0,INTC
1997-09-01,6155,1574,19946.0,2400.0,-1159.0,INTC
1997-12-01,6507,1743,19295.0,3475.0,-1584.0,INTC
1998-03-01,6001,1273,21585.0,2069.0,-1450.0,INTC
1998-06-01,5927,1172,21733.0,404.0,-1702.0,INTC
1998-09-01,6731,1559,21799.0,2988.0,-722.0,INTC
1998-12-01,7614,2064,23377.0,3986.0,317.0,INTC
1999-03-01,7103,1999,24726.0,2901.0,-675.0,INTC
1999-06-01,6746,1749,25472.0,1609.0,-766.0,INTC
1999-09-01,7328,1458,29182.0,3937.0,-982.0,INTC
1999-12-01,8212,2108,32535.0,3687.0,-980.0,INTC
2000-03-01,7993,2696,36103.0,3281.0,-1074.0,INTC
2000-06-01,8300,3137,36620.0,3156.0,-1252.0,INTC
